Size-Clients-Samples,W_Transferred(MB),W_Throughput(MB/s),W_Duration(s),W_Max,W_99th,W_90th,W_75th,W_50th,W_25th,W_Min,R_Transferred(MB),R_Throughput(MB/s),R_Duration(s),R_Max,R_99th,R_90th,R_75th,R_50th,R_25th,R_Min
0.0010MB-1-100,0.098,0.1,0.974,0.032,0.032,0.013,0.01,0.009,0.009,0.004,0.098,0.55,0.177,0.01,0.01,0.003,0.002,0.001,0.001,0.001
0.0020MB-1-100,0.195,0.21,0.908,0.016,0.016,0.012,0.01,0.009,0.009,0.004,0.195,1.11,0.176,0.005,0.005,0.003,0.002,0.001,0.001,0.001
0.0039MB-1-100,0.391,0.41,0.942,0.015,0.015,0.011,0.01,0.009,0.009,0.004,0.391,1.71,0.229,0.009,0.009,0.005,0.002,0.002,0.001,0.001
0.0098MB-1-100,0.977,1.04,0.943,0.014,0.014,0.011,0.01,0.009,0.009,0.004,0.977,4.33,0.226,0.01,0.01,0.004,0.002,0.001,0.001,0.001
0.0195MB-1-100,1.953,2.04,0.957,0.016,0.016,0.012,0.01,0.009,0.009,0.004,1.953,9.71,0.201,0.015,0.015,0.004,0.002,0.001,0.001,0.001
0.0391MB-1-100,3.906,4.08,0.958,0.016,0.016,0.011,0.01,0.009,0.009,0.006,3.906,17.78,0.22,0.013,0.013,0.004,0.002,0.002,0.002,0.001
0.0977MB-1-100,9.766,9.83,0.993,0.019,0.019,0.014,0.01,0.009,0.009,0.004,9.766,37.28,0.262,0.023,0.023,0.005,0.003,0.002,0.001,0.001
0.1953MB-1-100,19.531,19.74,0.989,0.025,0.025,0.014,0.01,0.009,0.009,0.005,19.531,83.72,0.233,0.012,0.012,0.004,0.002,0.002,0.002,0.001
0.3906MB-1-100,39.062,38.49,1.015,0.028,0.028,0.014,0.01,0.009,0.009,0.007,39.062,138.95,0.281,0.014,0.014,0.005,0.003,0.002,0.002,0.001
1.0000MB-1-100,100,56.94,1.756,0.041,0.041,0.025,0.02,0.017,0.013,0.01,100,277.44,0.36,0.015,0.015,0.005,0.004,0.003,0.003,0.002
4.0000MB-1-100,400,63.04,6.345,1.037,1.037,0.074,0.05,0.039,0.035,0.028,400,484.94,0.825,0.028,0.028,0.012,0.009,0.007,0.006,0.005
0.0039MB-1-100,0.391,0.42,0.921,0.015,0.015,0.011,0.01,0.009,0.009,0.003,0.391,1.96,0.199,0.013,0.013,0.003,0.002,0.001,0.001,0.001
0.0039MB-2-100,0.391,0.82,0.476,0.023,0.023,0.012,0.01,0.009,0.008,0.004,0.391,2.57,0.152,0.015,0.015,0.007,0.003,0.002,0.001,0.001
0.0039MB-4-100,0.391,1.21,0.323,0.03,0.03,0.02,0.015,0.011,0.008,0.005,0.391,2.58,0.152,0.019,0.019,0.012,0.008,0.005,0.003,0.001
