Size-Clients-Samples,W_Transferred(MB),W_Throughput(MB/s),W_Duration(s),W_Max,W_99th,W_90th,W_75th,W_50th,W_25th,W_Min,R_Transferred(MB),R_Throughput(MB/s),R_Duration(s),R_Max,R_99th,R_90th,R_75th,R_50th,R_25th,R_Min
0.0010MB-1-100,0.098,0.61,0.16,0.011,0.011,0.003,0.001,0.001,0.001,0.001,0.098,0.46,0.213,0.011,0.011,0.004,0.003,0.002,0.001,0.001
0.0020MB-1-100,0.195,1.18,0.166,0.007,0.007,0.003,0.002,0.001,0.001,0.001,0.195,1.3,0.15,0.008,0.008,0.003,0.001,0.001,0.001,0.001
0.0039MB-1-100,0.391,1.71,0.229,0.013,0.013,0.004,0.003,0.002,0.001,0.001,0.391,3.26,0.12,0.004,0.004,0.002,0.001,0.001,0.001,0.001
0.0098MB-1-100,0.977,4.28,0.228,0.008,0.008,0.005,0.003,0.002,0.001,0.001,0.977,5.13,0.19,0.008,0.008,0.004,0.002,0.001,0.001,0.001
0.0195MB-1-100,1.953,7.39,0.264,0.022,0.022,0.005,0.003,0.001,0.001,0.001,1.953,11.57,0.169,0.006,0.006,0.003,0.002,0.001,0.001,0.001
0.0391MB-1-100,3.906,12.83,0.304,0.026,0.026,0.006,0.003,0.002,0.002,0.001,3.906,20.37,0.192,0.01,0.01,0.005,0.002,0.001,0.001,0.001
0.0977MB-1-100,9.766,26.98,0.362,0.019,0.019,0.007,0.003,0.002,0.002,0.002,9.766,47.13,0.207,0.011,0.011,0.004,0.002,0.001,0.001,0.001
0.1953MB-1-100,19.531,37.22,0.525,0.017,0.017,0.011,0.005,0.004,0.003,0.003,19.531,89.7,0.218,0.008,0.008,0.004,0.002,0.002,0.001,0.001
0.3906MB-1-100,39.062,48.53,0.805,0.025,0.025,0.015,0.009,0.006,0.005,0.004,39.062,137.6,0.284,0.01,0.01,0.004,0.003,0.002,0.002,0.001
1.0000MB-1-100,100,63.77,1.568,0.067,0.067,0.023,0.017,0.012,0.011,0.01,100,275.51,0.363,0.01,0.01,0.006,0.004,0.003,0.003,0.002
4.0000MB-1-100,400,81.33,4.918,0.2,0.2,0.063,0.055,0.044,0.039,0.035,400,232.08,1.724,0.035,0.035,0.024,0.022,0.018,0.012,0.005
0.0039MB-1-100,0.391,2.35,0.167,0.007,0.007,0.003,0.002,0.001,0.001,0.001,0.391,2.21,0.176,0.011,0.011,0.003,0.002,0.001,0.001,0.001
0.0039MB-2-100,0.391,2.92,0.134,0.015,0.015,0.006,0.003,0.002,0.001,0.001,0.391,2.83,0.138,0.012,0.012,0.006,0.003,0.002,0.001,0.001
0.0039MB-4-100,0.391,3.73,0.105,0.011,0.011,0.007,0.004,0.003,0.002,0.001,0.391,3.27,0.12,0.022,0.022,0.01,0.005,0.003,0.002,0.001
0.0039MB-8-100,0.391,3.36,0.116,0.031,0.031,0.015,0.011,0.007,0.004,0.001,0.391,3.22,0.121,0.025,0.025,0.012,0.009,0.006,0.004,0.001
0.0039MB-16-100,0.391,2.52,0.155,0.048,0.048,0.034,0.023,0.016,0.012,0.001,0.391,3.59,0.109,0.041,0.041,0.025,0.017,0.011,0.009,0.002
0.0039MB-32-100,0.391,2.2,0.177,0.084,0.084,0.063,0.046,0.031,0.026,0.003,0.391,4.31,0.091,0.04,0.04,0.029,0.024,0.02,0.015,0.004
0.0039MB-64-100,0.391,2.74,0.143,0.112,0.112,0.085,0.067,0.05,0.039,0.013,0.391,4.54,0.086,0.051,0.051,0.043,0.039,0.03,0.02,0.008
0.0039MB-70-100,0.391,1.55,0.252,0.164,0.164,0.138,0.102,0.082,0.059,0.023,0.391,1.79,0.218,0.202,0.202,0.178,0.164,0.136,0.047,0.009
0.0039MB-80-100,0.391,1.51,0.258,0.223,0.223,0.187,0.153,0.116,0.095,0.021,0.391,2.23,0.175,0.162,0.162,0.13,0.121,0.096,0.072,0.02
0.0039MB-90-100,0.391,1.66,0.236,0.102,0.102,0.09,0.082,0.06,0.04,0.005,0.391,3.19,0.122,0.103,0.103,0.088,0.067,0.055,0.03,0.013
0.0039MB-100-100,0.391,2.12,0.184,0.084,0.084,0.067,0.059,0.052,0.04,0.003,0.391,2.59,0.151,0.128,0.128,0.114,0.106,0.092,0.081,0.043
0.0977MB-2-100,9.766,35.5,0.275,0.016,0.016,0.012,0.006,0.005,0.003,0.002,9.766,65.26,0.15,0.014,0.014,0.005,0.003,0.002,0.002,0.001
0.0977MB-4-100,9.766,31.71,0.308,0.033,0.033,0.021,0.015,0.01,0.006,0.002,9.766,65.2,0.15,0.015,0.015,0.011,0.008,0.005,0.003,0.002
0.0977MB-8-100,9.766,36.21,0.27,0.075,0.075,0.043,0.025,0.014,0.009,0.003,9.766,73.07,0.134,0.038,0.038,0.02,0.011,0.008,0.005,0.002
0.0977MB-16-100,9.766,38.68,0.252,0.064,0.064,0.048,0.036,0.026,0.016,0.005,9.766,61.33,0.159,0.043,0.043,0.031,0.027,0.02,0.012,0.001
0.0977MB-32-100,9.766,32.56,0.3,0.182,0.182,0.105,0.084,0.062,0.046,0.01,9.766,51.68,0.189,0.089,0.089,0.068,0.053,0.034,0.02,0.004
0.0977MB-64-100,9.766,30.48,0.32,0.248,0.248,0.224,0.183,0.133,0.086,0.039,9.766,49.57,0.197,0.155,0.155,0.119,0.097,0.081,0.058,0.022
0.0039MB-1-5,0.02,1.15,0.017,0.01,0.01,0.01,0.002,0.002,0.001,0.001,0.02,2.2,0.009,0.003,0.003,0.003,0.002,0.001,0.001,0.001
0.0039MB-1-10,0.039,0.78,0.05,0.02,0.02,0.02,0.006,0.002,0.002,0.001,0.039,2.22,0.018,0.005,0.005,0.005,0.002,0.001,0.001,0.001
0.0039MB-1-20,0.078,2.28,0.034,0.005,0.005,0.005,0.002,0.001,0.001,0.001,0.078,3.16,0.025,0.003,0.003,0.002,0.001,0.001,0.001,0.001
0.0039MB-1-40,0.156,1.47,0.106,0.013,0.013,0.006,0.003,0.002,0.001,0.001,0.156,2.2,0.071,0.005,0.005,0.004,0.002,0.001,0.001,0.001
0.0039MB-1-80,0.312,1.93,0.162,0.01,0.01,0.004,0.002,0.001,0.001,0.001,0.312,2.47,0.126,0.006,0.006,0.003,0.002,0.001,0.001,0.001
0.0039MB-1-160,0.625,2.46,0.254,0.01,0.006,0.003,0.001,0.001,0.001,0.001,0.625,2.44,0.256,0.015,0.01,0.003,0.002,0.001,0.001,0.001
0.0039MB-1-320,1.25,2.54,0.492,0.009,0.006,0.002,0.001,0.001,0.001,0.001,1.25,2.76,0.453,0.015,0.009,0.002,0.001,0.001,0.001,0.001
0.0039MB-1-640,2.5,2.87,0.87,0.005,0.005,0.002,0.001,0.001,0.001,0.001,2.5,3.43,0.729,0.007,0.004,0.001,0.001,0.001,0.001,0.001
0.0039MB-1-1280,5,3.04,1.644,0.013,0.005,0.002,0.001,0.001,0.001,0.001,5,3.33,1.499,0.008,0.004,0.001,0.001,0.001,0.001,0.001
